Unnamed: 0,age,workclass,fnlwgt,education,education-num,occupation,relationship,race,sex,country,salary,capital_gain,marital_status,capital_loss,hours_per_week
0,39, State-gov,77516, Bachelors,13, Adm-clerical, Not-in-family, White, Male, United-States, <=50K,2174, Never-married,0,40
1,50, Self-emp-not-inc,83311, Bachelors,13, Exec-managerial, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,13
2,38, Private,215646, HS-grad,9, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,40
3,53, Private,234721, 11th,7, Handlers-cleaners, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,40
4,28, Private,338409, Bachelors,13, Prof-specialty, Wife, Black, Female, Cuba, <=50K,0, Married-civ-spouse,0,40
5,37, Private,284582, Masters,14, Exec-managerial, Wife, White, Female, United-States, <=50K,0, Married-civ-spouse,0,40
6,49, Private,160187, 9th,5, Other-service, Not-in-family, Black, Female, Jamaica, <=50K,0, Married-spouse-absent,0,16
7,52, Self-emp-not-inc,209642, HS-grad,9, Exec-managerial, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,45
8,31, Private,45781, Masters,14, Prof-specialty, Not-in-family, White, Female, United-States, >50K,14084, Never-married,0,50
9,42, Private,159449, Bachelors,13, Exec-managerial, Husband, White, Male, United-States, >50K,5178, Married-civ-spouse,0,40
10,37, Private,280464, Some-college,10, Exec-managerial, Husband, Black, Male, United-States, >50K,0, Married-civ-spouse,0,80
11,30, State-gov,141297, Bachelors,13, Prof-specialty, Husband, Asian-Pac-Islander, Male, India, >50K,0, Married-civ-spouse,0,40
12,23, Private,122272, Bachelors,13, Adm-clerical, Own-child, White, Female, United-States, <=50K,0, Never-married,0,30
13,32, Private,205019, Assoc-acdm,12, Sales, Not-in-family, Black, Male, United-States, <=50K,0, Never-married,0,50
14,40, Private,121772, Assoc-voc,11, Craft-repair, Husband, Asian-Pac-Islander, Male, ?, >50K,0, Married-civ-spouse,0,40
15,34, Private,245487, 7th-8th,4, Transport-moving, Husband, Amer-Indian-Eskimo, Male, Mexico, <=50K,0, Married-civ-spouse,0,45
16,25, Self-emp-not-inc,176756, HS-grad,9, Farming-fishing, Own-child, White, Male, United-States, <=50K,0, Never-married,0,35
17,32, Private,186824, HS-grad,9, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K,0, Never-married,0,40
18,38, Private,28887, 11th,7, Sales, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,50
19,43, Self-emp-not-inc,292175, Masters,14, Exec-managerial, Unmarried, White, Female, United-States, >50K,0, Divorced,0,45
20,40, Private,193524, Doctorate,16, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,60
21,54, Private,302146, HS-grad,9, Other-service, Unmarried, Black, Female, United-States, <=50K,0, Separated,0,20
22,35, Federal-gov,76845, 9th,5, Farming-fishing, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,40
23,43, Private,117037, 11th,7, Transport-moving, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,2042,40
24,59, Private,109015, HS-grad,9, Tech-support, Unmarried, White, Female, United-States, <=50K,0, Divorced,0,40
25,56, Local-gov,216851, Bachelors,13, Tech-support, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
26,19, Private,168294, HS-grad,9, Craft-repair, Own-child, White, Male, United-States, <=50K,0, Never-married,0,40
27,54, ?,180211, Some-college,10, ?, Husband, Asian-Pac-Islander, Male, South, >50K,0, Married-civ-spouse,0,60
28,39, Private,367260, HS-grad,9, Exec-managerial, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,80
29,49, Private,193366, HS-grad,9, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
30,23, Local-gov,190709, Assoc-acdm,12, Protective-serv, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,52
31,20, Private,266015, Some-college,10, Sales, Own-child, Black, Male, United-States, <=50K,0, Never-married,0,44
32,45, Private,386940, Bachelors,13, Exec-managerial, Own-child, White, Male, United-States, <=50K,0, Divorced,1408,40
33,30, Federal-gov,59951, Some-college,10, Adm-clerical, Own-child, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
34,22, State-gov,311512, Some-college,10, Other-service, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,15
35,48, Private,242406, 11th,7, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico, <=50K,0, Never-married,0,40
36,21, Private,197200, Some-college,10, Machine-op-inspct, Own-child, White, Male, United-States, <=50K,0, Never-married,0,40
37,19, Private,544091, HS-grad,9, Adm-clerical, Wife, White, Female, United-States, <=50K,0, Married-AF-spouse,0,25
38,31, Private,84154, Some-college,10, Sales, Husband, White, Male, ?, >50K,0, Married-civ-spouse,0,38
39,48, Self-emp-not-inc,265477, Assoc-acdm,12, Prof-specialty, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
40,31, Private,507875, 9th,5, Machine-op-inspct, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,43
41,53, Self-emp-not-inc,88506, Bachelors,13, Prof-specialty, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
42,24, Private,172987, Bachelors,13, Tech-support, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,50
43,49, Private,94638, HS-grad,9, Adm-clerical, Unmarried, White, Female, United-States, <=50K,0, Separated,0,40
44,25, Private,289980, HS-grad,9, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,35
45,57, Federal-gov,337895, Bachelors,13, Prof-specialty, Husband, Black, Male, United-States, >50K,0, Married-civ-spouse,0,40
46,53, Private,144361, HS-grad,9, Machine-op-inspct, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,38
47,44, Private,128354, Masters,14, Exec-managerial, Unmarried, White, Female, United-States, <=50K,0, Divorced,0,40
48,41, State-gov,101603, Assoc-voc,11, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
49,29, Private,271466, Assoc-voc,11, Prof-specialty, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,43
50,25, Private,32275, Some-college,10, Exec-managerial, Wife, Other, Female, United-States, <=50K,0, Married-civ-spouse,0,40
51,18, Private,226956, HS-grad,9, Other-service, Own-child, White, Female, ?, <=50K,0, Never-married,0,30
52,47, Private,51835, Prof-school,15, Prof-specialty, Wife, White, Female, Honduras, >50K,0, Married-civ-spouse,1902,60
53,50, Federal-gov,251585, Bachelors,13, Exec-managerial, Not-in-family, White, Male, United-States, >50K,0, Divorced,0,55
54,47, Self-emp-inc,109832, HS-grad,9, Exec-managerial, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,60
55,43, Private,237993, Some-college,10, Tech-support, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
56,46, Private,216666, 5th-6th,3, Machine-op-inspct, Husband, White, Male, Mexico, <=50K,0, Married-civ-spouse,0,40
57,35, Private,56352, Assoc-voc,11, Other-service, Husband, White, Male, Puerto-Rico, <=50K,0, Married-civ-spouse,0,40
58,41, Private,147372, HS-grad,9, Adm-clerical, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,48
59,30, Private,188146, HS-grad,9, Machine-op-inspct, Husband, White, Male, United-States, <=50K,5013, Married-civ-spouse,0,40
60,30, Private,59496, Bachelors,13, Sales, Husband, White, Male, United-States, <=50K,2407, Married-civ-spouse,0,40
61,32, ?,293936, 7th-8th,4, ?, Not-in-family, White, Male, ?, <=50K,0, Married-spouse-absent,0,40
62,48, Private,149640, HS-grad,9, Transport-moving, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
63,42, Private,116632, Doctorate,16, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,45
64,29, Private,105598, Some-college,10, Tech-support, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,58
65,36, Private,155537, HS-grad,9, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
66,28, Private,183175, Some-college,10, Adm-clerical, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
67,53, Private,169846, HS-grad,9, Adm-clerical, Wife, White, Female, United-States, >50K,0, Married-civ-spouse,0,40
68,49, Self-emp-inc,191681, Some-college,10, Exec-managerial, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,50
69,25, ?,200681, Some-college,10, ?, Own-child, White, Male, United-States, <=50K,0, Never-married,0,40
70,19, Private,101509, Some-college,10, Prof-specialty, Own-child, White, Male, United-States, <=50K,0, Never-married,0,32
71,31, Private,309974, Bachelors,13, Sales, Own-child, Black, Female, United-States, <=50K,0, Separated,0,40
72,29, Self-emp-not-inc,162298, Bachelors,13, Sales, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,70
73,23, Private,211678, Some-college,10, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,40
74,79, Private,124744, Some-college,10, Prof-specialty, Other-relative, White, Male, United-States, <=50K,0, Married-civ-spouse,0,20
75,27, Private,213921, HS-grad,9, Other-service, Own-child, White, Male, Mexico, <=50K,0, Never-married,0,40
76,40, Private,32214, Assoc-acdm,12, Adm-clerical, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
77,67, ?,212759, 10th,6, ?, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,2
78,18, Private,309634, 11th,7, Other-service, Own-child, White, Female, United-States, <=50K,0, Never-married,0,22
79,31, Local-gov,125927, 7th-8th,4, Farming-fishing, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
80,18, Private,446839, HS-grad,9, Sales, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,30
81,52, Private,276515, Bachelors,13, Other-service, Husband, White, Male, Cuba, <=50K,0, Married-civ-spouse,0,40
82,46, Private,51618, HS-grad,9, Other-service, Wife, White, Female, United-States, <=50K,0, Married-civ-spouse,0,40
83,59, Private,159937, HS-grad,9, Sales, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,48
84,44, Private,343591, HS-grad,9, Craft-repair, Not-in-family, White, Female, United-States, >50K,14344, Divorced,0,40
85,53, Private,346253, HS-grad,9, Sales, Own-child, White, Female, United-States, <=50K,0, Divorced,0,35
86,49, Local-gov,268234, HS-grad,9, Protective-serv, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
87,33, Private,202051, Masters,14, Prof-specialty, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,50
88,30, Private,54334, 9th,5, Sales, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,40
89,43, Federal-gov,410867, Doctorate,16, Prof-specialty, Not-in-family, White, Female, United-States, >50K,0, Never-married,0,50
90,57, Private,249977, Assoc-voc,11, Prof-specialty, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
91,37, Private,286730, Some-college,10, Craft-repair, Unmarried, White, Female, United-States, <=50K,0, Divorced,0,40
92,28, Private,212563, Some-college,10, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K,0, Divorced,0,25
93,30, Private,117747, HS-grad,9, Sales, Wife, Asian-Pac-Islander, Female, ?, <=50K,0, Married-civ-spouse,1573,35
94,34, Local-gov,226296, Bachelors,13, Protective-serv, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
95,29, Local-gov,115585, Some-college,10, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,50
96,48, Self-emp-not-inc,191277, Doctorate,16, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,1902,60
97,37, Private,202683, Some-college,10, Sales, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,48
98,48, Private,171095, Assoc-acdm,12, Exec-managerial, Unmarried, White, Female, England, <=50K,0, Divorced,0,40
99,32, Federal-gov,249409, HS-grad,9, Other-service, Own-child, Black, Male, United-States, <=50K,0, Never-married,0,40
100,76, Private,124191, Masters,14, Exec-managerial, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
101,44, Private,198282, Bachelors,13, Exec-managerial, Husband, White, Male, United-States, >50K,15024, Married-civ-spouse,0,60
102,47, Self-emp-not-inc,149116, Masters,14, Prof-specialty, Not-in-family, White, Female, United-States, <=50K,0, Never-married,0,50
103,20, Private,188300, Some-college,10, Tech-support, Own-child, White, Female, United-States, <=50K,0, Never-married,0,40
104,29, Private,103432, HS-grad,9, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,40
105,32, Self-emp-inc,317660, HS-grad,9, Craft-repair, Husband, White, Male, United-States, >50K,7688, Married-civ-spouse,0,40
106,17, ?,304873, 10th,6, ?, Own-child, White, Female, United-States, <=50K,34095, Never-married,0,32
107,30, Private,194901, 11th,7, Handlers-cleaners, Own-child, White, Male, United-States, <=50K,0, Never-married,0,40
108,31, Local-gov,189265, HS-grad,9, Adm-clerical, Not-in-family, White, Female, United-States, <=50K,0, Never-married,0,40
109,42, Private,124692, HS-grad,9, Handlers-cleaners, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
110,24, Private,432376, Bachelors,13, Sales, Other-relative, White, Male, United-States, <=50K,0, Never-married,0,40
111,38, Private,65324, Prof-school,15, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
112,56, Self-emp-not-inc,335605, HS-grad,9, Other-service, Husband, White, Male, Canada, >50K,0, Married-civ-spouse,1887,50
113,28, Private,377869, Some-college,10, Sales, Wife, White, Female, United-States, <=50K,4064, Married-civ-spouse,0,25
114,36, Private,102864, HS-grad,9, Machine-op-inspct, Own-child, White, Female, United-States, <=50K,0, Never-married,0,40
115,53, Private,95647, 9th,5, Handlers-cleaners, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,50
116,56, Self-emp-inc,303090, Some-college,10, Sales, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,50
117,49, Local-gov,197371, Assoc-voc,11, Craft-repair, Husband, Black, Male, United-States, >50K,0, Married-civ-spouse,0,40
118,55, Private,247552, Some-college,10, Sales, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,56
119,22, Private,102632, HS-grad,9, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,41
120,21, Private,199915, Some-college,10, Other-service, Own-child, White, Female, United-States, <=50K,0, Never-married,0,40
121,40, Private,118853, Bachelors,13, Exec-managerial, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,60
122,30, Private,77143, Bachelors,13, Exec-managerial, Own-child, Black, Male, Germany, <=50K,0, Never-married,0,40
123,29, State-gov,267989, Bachelors,13, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,50
124,19, Private,301606, Some-college,10, Other-service, Own-child, Black, Male, United-States, <=50K,0, Never-married,0,35
125,47, Private,287828, Bachelors,13, Exec-managerial, Wife, White, Female, United-States, >50K,0, Married-civ-spouse,0,40
126,20, Private,111697, Some-college,10, Adm-clerical, Own-child, White, Female, United-States, <=50K,0, Never-married,1719,28
127,31, Private,114937, Assoc-acdm,12, Adm-clerical, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
128,35, ?,129305, HS-grad,9, ?, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
129,39, Private,365739, Some-college,10, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,40
130,28, Private,69621, Assoc-acdm,12, Sales, Not-in-family, White, Female, United-States, <=50K,0, Never-married,0,60
131,24, Private,43323, HS-grad,9, Other-service, Not-in-family, White, Female, United-States, <=50K,0, Never-married,1762,40
132,38, Self-emp-not-inc,120985, HS-grad,9, Craft-repair, Husband, White, Male, United-States, <=50K,4386, Married-civ-spouse,0,35
133,37, Private,254202, Bachelors,13, Sales, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,50
134,46, Private,146195, Assoc-acdm,12, Tech-support, Not-in-family, Black, Female, United-States, <=50K,0, Divorced,0,36
135,38, Federal-gov,125933, Masters,14, Prof-specialty, Husband, White, Male, Iran, >50K,0, Married-civ-spouse,0,40
136,43, Self-emp-not-inc,56920, HS-grad,9, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,60
137,27, Private,163127, Assoc-voc,11, Adm-clerical, Wife, White, Female, United-States, <=50K,0, Married-civ-spouse,0,35
138,20, Private,34310, Some-college,10, Sales, Own-child, White, Male, United-States, <=50K,0, Never-married,0,20
139,49, Private,81973, Some-college,10, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K,0, Married-civ-spouse,0,40
140,61, Self-emp-inc,66614, HS-grad,9, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
