Unnamed: 0,age,workclass,fnlwgt,education,education-num,occupation,relationship,race,sex,country,salary,capital_gain,marital_status,capital_loss,hours_per_week
5514,33, Local-gov,198183, Bachelors,13, Prof-specialty, Not-in-family, White, Female, United-States, >50K,0, Never-married,0,50
19777,36, Private,86459, Assoc-voc,11, Exec-managerial, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,1887,50
10781,58, Self-emp-not-inc,203039, 9th,5, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Separated,0,40
32240,21, Private,180190, Assoc-voc,11, Farming-fishing, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,46
9876,27, Private,279872, Some-college,10, Other-service, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,40
5455,44, Private,175485, Bachelors,13, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,12
8615,33, Private,67006, 10th,6, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K,0, Never-married,0,45
29805,62, Self-emp-not-inc,75478, Bachelors,13, Exec-managerial, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
15081,20, Private,374116, HS-grad,9, Prof-specialty, Other-relative, White, Female, United-States, <=50K,0, Never-married,0,40
17203,33, Private,23871, HS-grad,9, Other-service, Unmarried, White, Female, United-States, <=50K,0, Divorced,0,30
9747,24, Private,194604, Bachelors,13, Sales, Own-child, White, Female, United-States, <=50K,0, Never-married,0,15
12114,36, Private,247558, Prof-school,15, Prof-specialty, Husband, White, Male, ?, >50K,5178, Married-civ-spouse,0,60
327,43, Private,187728, Some-college,10, Prof-specialty, Wife, White, Female, United-States, >50K,0, Married-civ-spouse,1887,50
231,41, Private,130408, HS-grad,9, Sales, Unmarried, Black, Female, United-States, <=50K,0, Divorced,0,38
13770,40, Private,271393, Assoc-acdm,12, Exec-managerial, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
5860,27, Private,101364, HS-grad,9, Handlers-cleaners, Husband, White, Male, Mexico, <=50K,0, Married-civ-spouse,0,40
3272,30, Private,123178, 10th,6, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,50
27240,38, Private,125933, Bachelors,13, Exec-managerial, Not-in-family, White, Male, United-States, >50K,27828, Separated,0,45
24431,25, Private,196771, HS-grad,9, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,65
7743,20, Private,39927, HS-grad,9, Other-service, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,8
6951,26, Private,134287, Assoc-voc,11, Sales, Own-child, White, Female, United-States, <=50K,0, Never-married,0,35
21032,25, Private,117833, Bachelors,13, Prof-specialty, Not-in-family, White, Female, United-States, <=50K,0, Never-married,1876,40
14778,37, Private,188377, HS-grad,9, Machine-op-inspct, Not-in-family, Black, Male, United-States, <=50K,0, Never-married,0,40
11423,36, Private,135162, HS-grad,9, Sales, Own-child, White, Male, ?, <=50K,0, Never-married,0,45
26009,19, Private,203319, 11th,7, Sales, Own-child, White, Male, United-States, <=50K,0, Never-married,0,30
